0,1,0.0019942238
0,2,0.0023907104
0,3,0.0027834778
0,4,0.0035042241
0,5,0.0034102767
0,6,0.0041936296
0,7,0.004638872
0,8,0.0049105408
0.2,1,0.0055050594
0.2,2,0.01031397
0.2,3,0.017561272
0.2,4,0.02547736
0.2,5,0.034173332
0.2,6,0.04354685
0.2,7,0.051270116
0.2,8,0.059900414
0.4,1,0.007636589
0.4,2,0.020117238
0.4,3,0.035463043
0.4,4,0.05715863
0.4,5,0.07241168
0.4,6,0.093968764
0.4,7,0.11144878
0.4,8,0.12501465
0.6,1,0.009923892
0.6,2,0.022597743
0.6,3,0.049501497
0.6,4,0.07892463
0.6,5,0.08924106
0.6,6,0.1160029
0.6,7,0.14156902
0.6,8,0.16349347
0.8,1,0.012235916
0.8,2,0.031799503
0.8,3,0.05569976
0.8,4,0.07861795
0.8,5,0.10826661
0.8,6,0.15952404
0.8,7,0.19184552
0.8,8,0.22296731
1,1,0.014345862
1,2,0.038680684
1,3,0.071979545
1,4,0.107057
1,5,0.14515223
1,6,0.18920349
1,7,0.21475288
1,8,0.25365555
